time, wave, castedWave, filteredWave
0.005238, -149.043884, -149.043884, 0.017944
0.005261, -690.550781, -690.550781, -0.052292
0.005283, -980.871033, -980.871033, -0.103516
0.005306, -914.413635, -914.413635, -0.117035
0.005329, -515.343018, -515.343018, -0.088074
0.005351, 71.180923, 71.180923, -0.026962
0.005374, 631.813171, 631.813171, 0.043839
0.005397, 962.623230, 962.623230, 0.098801
0.005420, 943.293884, 943.293884, 0.117737
0.005442, 580.846313, 580.846313, 0.093918
0.005465, 7.118874, 7.118866, 0.035873
0.005488, -569.187683, -569.187683, -0.035156
0.005510, -938.467712, -938.467712, -0.093460
0.005533, -966.385010, -966.385010, -0.117722
0.005556, -642.784851, -642.784851, -0.099197
0.005578, -85.387520, -85.387512, -0.044556
0.005601, 503.078705, 503.078705, 0.026260
0.005624, 908.552673, 908.552673, 0.087540
0.005646, 983.545288, 983.545288, 0.116959
0.005669, 700.778503, 700.778503, 0.103867
0.005692, 163.119553, 163.119553, 0.052963
0.005714, -433.882263, -433.882263, -0.017181
0.005737, -873.061646, -873.061646, -0.081100
0.005760, -994.669373, -994.669373, -0.115494
0.005782, -754.479614, -754.479614, -0.107910
0.005805, -239.850479, -239.850479, -0.061035
0.005828, 362.023010, 362.023010, 0.007996
0.005850, 832.212524, 832.212524, 0.074173
0.005873, 999.689026, 999.689026, 0.113297
0.005896, 803.541382, 803.541382, 0.111298
0.005918, 315.109406, 315.109406, 0.068726
0.005941, -287.941956, -287.941956, 0.001251
0.005964, -786.255920, -786.255920, -0.066803
0.005986, -998.572754, -998.572754, -0.110413
0.006009, -847.671692, -847.671692, -0.114014
0.006032, -388.434479, -388.434479, -0.075989
0.006054, 212.093765, 212.093765, -0.010468
0.006077, 735.473999, 735.473999, 0.058975
0.006100, 991.327759, 991.327759, 0.106873
0.006122, 886.599731, 886.599731, 0.115982
0.006145, 459.375641, 459.375641, 0.082825
0.006168, -134.943924, -134.943924, 0.019608
0.006190, -680.169128, -680.169128, -0.050797
0.006213, -977.998779, -977.998779, -0.102676
0.006236, -920.086487, -920.086487, -0.117264
0.006259, -527.497559, -527.497559, -0.089127
0.006281, 56.953346, 56.953339, -0.028641
0.006304, 620.698425, 620.698425, 0.042313
0.006327, 958.667725, 958.667725, 0.097855
0.006349, 947.926575, 947.926575, 0.117798
0.006372, 592.382141, 592.382141, 0.094910
0.006395, 21.374296, 21.374283, 0.037491
0.006417, -557.418457, -557.418457, -0.033569
0.006440, -933.453125, -933.453125, -0.092407
0.006463, -969.949097, -969.949097, -0.117645
0.006485, -653.640625, -653.640625, -0.100067
0.006508, -99.570763, -99.570755, -0.046143
0.006531, 490.717468, 490.717468, 0.024643
0.006553, 902.509766, 902.509766, 0.086380
0.006576, 986.018860, 986.018860, 0.116791
0.006599, 710.877563, 710.877563, 0.104599
0.006621, 177.156143, 177.156143, 0.054504
0.006644, -421.004883, -421.004883, -0.015564
0.006667, -866.027588, -866.027588, -0.079834
0.006689, -996.038391, -996.038391, -0.115189
0.006712, -763.751709, -763.751709, -0.108536
0.006735, -253.654297, -253.654297, -0.062500
0.006757, 348.708527, 348.708527, 0.006363
0.006780, 824.230408, 824.230408, 0.072800
0.006803, 999.942932, 999.942932, 0.112900
0.006825, 811.938538, 811.938538, 0.111771
0.006848, 328.595734, 328.595734, 0.070145
0.006871, -274.272095, -274.272095, 0.002853
0.006893, -777.366943, -777.366943, -0.065323
0.006916, -997.710693, -997.710693, -0.109894
0.006939, -855.142395, -855.142395, -0.114334
0.006961, -401.520508, -401.520508, -0.077362
0.006984, 198.140045, 198.140045, -0.012054
0.007007, 725.739746, 725.739746, 0.057434
0.007029, 989.355347, 989.355347, 0.106232
0.007052, 893.098145, 893.098145, 0.116196
0.007075, 471.981110, 471.981110, 0.084091
0.007098, -120.804100, -120.804092, 0.021194
0.007120, -669.658508, -669.658508, -0.049225
0.007143, -974.928162, -974.928162, -0.101898
0.007166, -925.572754, -925.572754, -0.117355
0.007188, -539.555664, -539.555664, -0.090271
0.007211, 42.726761, 42.726761, -0.030212
0.007234, 609.467529, 609.467529, 0.040695
0.007256, 954.517639, 954.517639, 0.096939
0.007279, 952.366943, 952.366943, 0.117798
0.007302, 603.807739, 603.807739, 0.095932
0.007324, 35.612804, 35.612793, 0.039032
0.007347, -545.536133, -545.536133, -0.031921
0.007370, -928.249146, -928.249146, -0.091385
0.007392, -973.319214, -973.319214, -0.117508
0.007415, -664.354187, -664.354187, -0.100983
0.007438, -113.733803, -113.733795, -0.047638
0.007460, 478.256683, 478.256683, 0.022949
0.007483, 896.283813, 896.283813, 0.085281
0.007506, 988.294250, 988.294250, 0.116501
0.007528, 720.823425, 720.823425, 0.105423
0.007551, 191.156799, 191.156799, 0.055923
0.007574, -408.042114, -408.042114, -0.013840
0.007596, -858.811340, -858.811340, -0.078644
0.007619, -997.203979, -997.203979, -0.114777
0.007642, -772.868774, -772.868774, -0.109222
0.007664, -267.406647, -267.406647, -0.063873
0.007687, 335.311432, 335.311432, 0.004639
0.007710, 816.073853, 816.073853, 0.071533
0.007732, 999.993652, 999.993652, 0.112335
0.007755, 820.170959, 820.170959, 0.112350
0.007778, 342.015350, 342.015350, 0.071426
0.007800, -260.534393, -260.534393, 0.004593
0.007823, -768.327942, -768.327942, -0.063980
0.007846, -996.646240, -996.646240, -0.109222
0.007868, -862.439636, -862.439636, -0.114792
0.007891, -414.525085, -414.525085, -0.078552
0.007914, 184.170792, 184.170792, -0.013794
0.007937, 715.875488, 715.875488, 0.056030
0.007959, 987.180176, 987.180176, 0.105438
0.007982, 899.420837, 899.420837, 0.116516
0.008005, 484.501801, 484.501801, 0.085190
0.008027, -106.652237, -106.652237, 0.022903
0.008050, -659.012085, -659.012085, -0.047745
0.008073, -971.659668, -971.659668, -0.100998
0.008095, -930.871155, -930.871155, -0.117523
0.008118, -551.483093, -551.483093, -0.091309
0.008141, 28.478930, 28.478928, -0.031876
0.008163, 598.102905, 598.102905, 0.039154
0.008186, 950.170044, 950.170044, 0.095947
0.008209, 956.617737, 956.617737, 0.117828
0.008231, 615.100769, 615.100769, 0.096863
0.008254, 49.844082, 49.844070, 0.040649
0.008277, -533.543152, -533.543152, -0.030334
0.008299, -922.856812, -922.856812, -0.090286
0.008322, -976.486145, -976.486145, -0.117401
0.008345, -674.942261, -674.942261, -0.101822
0.008367, -127.886246, -127.886246, -0.049194
0.008390, 465.687744, 465.687744, 0.021332
0.008413, 889.870239, 889.870239, 0.084091
0.008435, 990.367065, 990.367065, 0.116257
0.008458, 730.623047, 730.623047, 0.106140
0.008481, 205.118668, 205.118668, 0.057419
0.008503, -394.996521, -394.996521, -0.012192
0.008526, -851.433777, -851.433777, -0.077377
0.008549, -998.167969, -998.167969, -0.114395
0.008571, -781.836975, -781.836975, -0.109833
0.008594, -281.116791, -281.116791, -0.065277
0.008617, 321.858124, 321.858124, 0.002960
0.008639, 807.758850, 807.758850, 0.070190
0.008662, 999.841492, 999.841492, 0.111816
0.008685, 828.237000, 828.237000, 0.112854
0.008707, 355.365601, 355.365601, 0.072739
0.008730, -246.768158, -246.768158, 0.006287
0.008753, -759.124878, -759.124878, -0.062592
0.008776, -995.378296, -995.378296, -0.108551
0.008798, -869.568054, -869.568054, -0.115173
0.008821, -427.456909, -427.456909, -0.079773
0.008844, 170.139435, 170.139435, -0.015472
0.008866, 705.848450, 705.848450, 0.054565
0.008889, 984.808777, 984.808777, 0.104660
0.008912, 905.549988, 905.549988, 0.116776
0.008934, 496.902161, 496.902161, 0.086319
0.008957, -92.466202, -92.466202, 0.024567
0.008980, -648.222290, -648.222290, -0.046234
0.009002, -968.190918, -968.190918, -0.100082
0.009025, -935.985107, -935.985107, -0.117676
0.009048, -563.319641, -563.319641, -0.092316
0.009070, 14.250470, 14.250458, -0.033524
0.009093, 586.637024, 586.637024, 0.037613
0.009116, 945.637451, 945.637451, 0.094910
0.009138, 960.667114, 960.667114, 0.117859
0.009161, 626.278809, 626.278809, 0.097763
0.009184, 64.077805, 64.077805, 0.042267
0.009206, -521.431152, -521.431152, -0.028748
0.009229, -917.272217, -917.272217, -0.089172
0.009252, -979.460327, -979.460327, -0.117279
0.009274, -685.374817, -685.374817, -0.102615
0.009297, -141.987793, -141.987793, -0.050735
0.009320, 453.046539, 453.046539, 0.019699
0.009342, 883.287537, 883.287537, 0.082886
0.009365, 992.240479, 992.240479, 0.115997
0.009388, 740.282837, 740.282837, 0.106842
0.009410, 219.051208, 219.051208, 0.058899
0.009433, -381.859161, -381.859161, -0.010529
0.009456, -843.870239, -843.870239, -0.076096
0.009478, -998.927917, -998.927917, -0.113998
0.009501, -790.630798, -790.630798, -0.110413
0.009524, -294.745789, -294.745789, -0.066696
0.009546, 308.327515, 308.327515, 0.001312
0.009569, 799.272339, 799.272339, 0.068802
0.009592, 999.486023, 999.486023, 0.111313
0.009615, 836.141846, 836.141846, 0.113281
0.009637, 368.655426, 368.655426, 0.074112
0.009660, -232.927460, -232.927460, 0.007904
0.009683, -749.784180, -749.784180, -0.061096
0.009705, -993.910828, -993.910828, -0.107956
0.009728, -876.507568, -876.507568, -0.115463
0.009751, -440.301849, -440.301849, -0.081055
0.009773, 156.073502, 156.073502, -0.017090
0.009796, 695.677917, 695.677917, 0.053040
0.009819, 982.233154, 982.233154, 0.103897
0.009841, 911.506165, 911.506165, 0.116959
0.009864, 509.223572, 509.223572, 0.087479
0.009887, -78.286461, -78.286453, 0.026184
0.009909, -637.320190, -637.320190, -0.044647
0.009932, -964.532043, -964.532043, -0.099228
0.009955, -940.908875, -940.908875, -0.117737
0.009977, -575.041687, -575.041687, -0.093369
0.010000, -0.006039, -0.006027, -0.035110
0.010023, 575.031799, 575.031799, 0.035980
0.010045, 940.904785, 940.904785, 0.093933
0.010068, 964.528564, 964.528564, 0.117783
0.010091, 637.310120, 637.310120, 0.098709
0.010113, 78.273415, 78.273407, 0.043808
0.010136, -509.234833, -509.234833, -0.027100
0.010159, -911.501221, -911.501221, -0.088074
0.010181, -982.235413, -982.235413, -0.117096
0.010204, -695.686584, -695.686584, -0.103439
0.010227, -156.085419, -156.085419, -0.052231
0.010249, 440.291016, 440.291016, 0.018021
0.010272, 876.513916, 876.513916, 0.081711
0.010295, 993.909424, 993.909424, 0.115646
0.010317, 749.775574, 749.775574, 0.107574
0.010340, 232.914734, 232.914734, 0.060303
0.010363, -368.644196, -368.644196, -0.008835
0.010385, -836.135193, -836.135193, -0.074829
0.010408, -999.486389, -999.486389, -0.113525
0.010431, -799.279602, -799.279602, -0.111023
0.010454, -308.338989, -308.338989, -0.068039
0.010476, 294.758301, 294.758301, -0.000397
0.010499, 790.638794, 790.638794, 0.067474
0.010522, 998.928528, 998.928528, 0.110703
0.010544, 843.863220, 843.863220, 0.113785
0.010567, 381.870331, 381.870331, 0.075363
0.010590, -219.039413, -219.039413, 0.009628
0.010612, -740.274719, -740.274719, -0.059692
0.010635, -992.238953, -992.238953, -0.107239
0.010658, -883.281433, -883.281433, -0.115829
0.010680, -453.034882, -453.034882, -0.082230
0.010703, 142.000748, 142.000748, -0.018784
0.010726, 685.384338, 685.384338, 0.051559
0.010748, 979.462952, 979.462952, 0.103073
0.010771, 917.277039, 917.277039, 0.117188
0.010794, 521.441467, 521.441467, 0.088562
0.010816, -64.065750, -64.065750, 0.027847
0.010839, -626.269348, -626.269348, -0.043121
0.010862, -960.670776, -960.670776, -0.098282
0.010884, -945.633179, -945.633179, -0.117813
0.010907, -586.626404, -586.626404, -0.094376
0.010930, -14.237387, -14.237381, -0.036713
0.010952, 563.330444, 563.330444, 0.034393
0.010975, 935.980896, 935.980896, 0.092911
0.010998, 968.193970, 968.193970, 0.117706
0.011020, 648.231506, 648.231506, 0.099609
0.011043, 92.478233, 92.478226, 0.045364
0.011066, -496.913513, -496.913513, -0.025452
0.011088, -905.555542, -905.555542, -0.086960
0.011111, -984.806519, -984.806519, -0.116882
0.011134, -705.839172, -705.839172, -0.104248
0.011156, -170.151337, -170.151337, -0.053726
0.011179, 427.445984, 427.445984, 0.016373
0.011202, 869.562073, 869.562073, 0.080475
0.011224, 995.379456, 995.379456, 0.115341
0.011247, 759.132751, 759.132751, 0.108215
0.011270, 246.755478, 246.755478, 0.061783
0.011293, -355.377838, -355.377838, -0.007187
0.011315, -828.244324, -828.244324, -0.073471
0.011338, -999.841248, -999.841248, -0.113113
0.011361, -807.765930, -807.765930, -0.111526
0.011383, -321.869537, -321.869537, -0.069443
0.011406, 281.105225, 281.105225, -0.002045
0.011429, 781.829407, 781.829407, 0.066055
0.011451, 998.167236, 998.167236, 0.110153
0.011474, 851.426941, 851.426941, 0.114182
0.011497, 394.984497, 394.984497, 0.076675
0.011519, -205.131485, -205.131485, 0.011276
0.011542, -730.631958, -730.631958, -0.058228
0.011565, -990.365356, -990.365356, -0.106552
0.011587, -889.875732, -889.875732, -0.116089
0.011610, -465.698425, -465.698425, -0.083466
0.011633, 127.874268, 127.874268, -0.020386
0.011655, 674.933350, 674.933350, 0.049988
0.011678, 976.488953, 976.488953, 0.102310
0.011701, 922.851746, 922.851746, 0.117294
0.011723, 533.532043, 533.532043, 0.089722
0.011746, -49.857151, -49.857147, 0.029419
0.011769, -615.091248, -615.091248, -0.041504
0.011791, -956.614258, -956.614258, -0.097397
0.011814, -950.173767, -950.173767, -0.117798
0.011837, -598.112549, -598.112549, -0.095428
0.011859, -28.491003, -28.490997, -0.038254
0.011882, 551.494019, 551.494019, 0.032730
0.011905, 930.875916, 930.875916, 0.091919
0.011927, 971.656616, 971.656616, 0.117554
0.011950, 659.002197, 659.002197, 0.100555
0.011973, 106.664246, 106.664246, 0.046860
0.011995, -484.491211, -484.491211, -0.023773
0.012018, -899.415527, -899.415527, -0.085846
0.012041, -987.182129, -987.182129, -0.116638
0.012063, -715.866333, -715.866333, -0.105026
0.012086, -184.157928, -184.157928, -0.055206
0.012109, 414.536987, 414.536987, 0.014694
0.012132, 862.446228, 862.446228, 0.079254
0.012154, 996.645142, 996.645142, 0.114975
0.012177, 768.335693, 768.335693, 0.108887
0.012200, 260.546051, 260.546051, 0.063187
0.012222, -342.015839, -342.015839, -0.005493
0.012245, -820.171265, -820.171265, -0.072174
0.012268, -999.993652, -999.993652, -0.112610
0.012290, -816.073547, -816.073547, -0.112061
0.012313, -335.310974, -335.310974, -0.070786
0.012336, 267.419250, 267.419250, -0.003723
0.012358, 772.877136, 772.877136, 0.064651
0.012381, 997.203064, 997.203064, 0.109558
0.012404, 858.817566, 858.817566, 0.114563
0.012426, 408.041656, 408.041656, 0.077957
0.012449, -191.157303, -191.157303, 0.012909
0.012472, -720.823792, -720.823792, -0.056732
0.012494, -988.294312, -988.294312, -0.105835
0.012517, -896.278015, -896.278015, -0.116348
0.012540, -478.245209, -478.245209, -0.084641
0.012562, 113.721802, 113.721802, -0.022049
0.012585, 664.345215, 664.345215, 0.048477
0.012608, 973.316467, 973.316467, 0.101440
0.012630, 928.248962, 928.248962, 0.117447
0.012653, 545.535706, 545.535706, 0.090790
0.012676, -35.613304, -35.613297, 0.031036
0.012698, -603.808167, -603.808167, -0.039917
0.012721, -952.370972, -952.370972, -0.096451
0.012744, -954.513733, -954.513733, -0.117813
0.012766, -609.477112, -609.477112, -0.096390
0.012789, -42.738827, -42.738815, -0.039856
0.012812, 539.545471, 539.545471, 0.031128
0.012834, 925.572937, 925.572937, 0.090836
0.012857, 974.928040, 974.928040, 0.117462
0.012880, 669.658142, 669.658142, 0.101395
0.012902, 120.803604, 120.803604, 0.048416
0.012925, -471.992615, -471.992615, -0.022141
0.012948, -893.104004, -893.104004, -0.084702
0.012971, -989.357117, -989.357117, -0.116364
0.012993, -725.748047, -725.748047, -0.105804
0.013016, -198.151886, -198.151886, -0.056671
0.013039, 401.520966, 401.520966, 0.013000
0.013061, 855.142639, 855.142639, 0.078033
0.013084, 997.710693, 997.710693, 0.114578
0.013107, 777.366638, 777.366638, 0.109528
0.013129, 274.259491, 274.259491, 0.064575
0.013152, -328.608093, -328.608093, -0.003799
0.013175, -811.931519, -811.931519, -0.070862
0.013197, -999.942810, -999.942810, -0.112076
0.013220, -824.230164, -824.230164, -0.112610
0.013243, -348.708038, -348.708038, -0.072083
0.013265, 253.654785, 253.654785, -0.005432
0.013288, 763.752014, 763.752014, 0.063278
0.013311, 996.038452, 996.038452, 0.108887
0.013333, 866.021057, 866.021057, 0.114990
0.013356, 420.993011, 420.993011, 0.079163
0.013379, -177.144257, -177.144257, 0.014633
0.013401, -710.869080, -710.869080, -0.055298
0.013424, -986.018921, -986.018921, -0.105042
0.013447, -902.509583, -902.509583, -0.116653
0.013469, -490.717041, -490.717041, -0.085754
